Date,Time,SatCount,GPS,GSpd(knots),Hdg(@),Alt(m),Vspd(m/s),Dist(m),Strm(m/s),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(@),Roll(@),Yaw(@),FM,VFR
2026-04-04,14:00:00.000,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:00.200,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:00.400,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:00.600,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:00.800,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:01.000,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:01.200,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:01.400,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:01.600,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:01.800,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:02.000,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:02.200,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:02.400,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:02.600,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:02.800,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:03.000,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
2026-04-04,14:00:03.200,0,0.000000 0.000000,0.0,0.0,0.0,0.0,0.0,0.0,-65,-68,98,10,0,2,25,-65,100,10,4.31,0.0,0,100,0.0,0.0,0.0,STAB,1
